Vardas              Pavarde             ND1     ND2     ND3     ND4     ND5     ND6     ND7     ND8     ND9     ND10    ND11    ND12    ND13    ND14    ND15    Egz.    
Vardas27513         Pavarde27513        8       5       10      9       5       6       4       1       2       1       1       8       9       6       1       3       
Vardas27514         Pavarde27514        8       8       4       6       8       2       9       5       5       1       9       6       3       9       5       7       
Vardas27515         Pavarde27515        8       8       9       6       8       8       5       3       7       1       2       3       2       1       3       8       
Vardas27516         Pavarde27516        10      1       6       6       8       3       8       3       6       5       5       1       3       5       4       7       
Vardas27517         Pavarde27517        3       1       3       3       1       4       2       7       5       7       6       3       5       1       6       4       
Vardas27518         Pavarde27518        7       4       8       2       7       8       4       4       2       4       6       1       2       4       2       1       
Vardas27519         Pavarde27519        7       5       9       1       7       8       9       8       7       8       8       5       2       7       1       5       
Vardas27520         Pavarde27520        1       7       6       9       1       4       2       2       1       6       4       9       3       2       5       7       
Vardas27521         Pavarde27521        6       6       10      3       3       8       9       2       10      3       10      9       2       3       2       6       
Vardas27522         Pavarde27522        4       7       9       8       10      6       1       8       6       2       4       1       2       1       9       2       
Vardas27523         Pavarde27523        7       6       5       3       5       3       8       1       4       2       8       8       8       1       6       6       
Vardas27524         Pavarde27524        7       3       5       9       7       8       10      5       10      10      8       2       8       9       5       5       
Vardas27525         Pavarde27525        7       1       9       2       10      3       3       10      3       7       10      1       2       2       2       7       
Vardas27526         Pavarde27526        2       3       9       1       10      2       6       3       8       2       7       5       2       7       4       5       
Vardas27527         Pavarde27527        10      1       10      5       10      2       5       1       5       6       2       4       3       3       5       4       
Vardas27528         Pavarde27528        10      9       4       1       5       2       9       1       3       8       3       6       4       6       4       6       
Vardas27529         Pavarde27529        5       2       7       10      5       6       3       1       10      10      9       1       5       4       6       3       
Vardas27530         Pavarde27530        9       9       6       1       10      10      3       2       9       7       7       4       7       10      6       7       
Vardas27531         Pavarde27531        8       2       1       1       5       2       10      5       1       1       7       5       8       3       9       9       
Vardas27532         Pavarde27532        4       2       6       4       7       10      7       2       1       2       4       8       8       7       6       10      
Vardas27533         Pavarde27533        9       1       5       5       10      5       7       1       8       1       7       3       2       9       9       9       
Vardas27534         Pavarde27534        5       10      6       9       6       10      1       2       4       7       6       4       10      2       4       5       
Vardas27535         Pavarde27535        10      9       8       7       4       5       5       6       8       9       1       8       9       2       8       3       
Vardas27536         Pavarde27536        9       1       7       2       1       10      2       1       6       10      5       5       10      5       10      2       
Vardas27537         Pavarde27537        7       8       5       2       1       6       9       1       5       9       5       1       4       2       1       8       
Vardas27538         Pavarde27538        2       10      1       8       9       8       1       1       6       5       4       6       10      10      4       2       
Vardas27539         Pavarde27539        9       5       1       10      6       8       3       9       8       4       3       6       9       7       10      6       
Vardas27540         Pavarde27540        1       3       5       2       6       6       9       6       8       5       1       5       9       6       9       1       
Vardas27541         Pavarde27541        6       7       10      1       5       8       10      6       5       5       1       5       1       2       4       10      
Vardas27542         Pavarde27542        4       5       8       2       7       5       9       9       8       10      5       9       1       3       9       7       
Vardas27543         Pavarde27543        5       2       3       3       1       4       4       10      8       5       2       9       1       4       6       1       
Vardas27544         Pavarde27544        8       6       5       9       4       4       3       9       6       6       7       4       6       8       1       3       
Vardas27545         Pavarde27545        7       4       2       8       1       6       9       6       10      10      9       1       5       5       3       3       
Vardas27546         Pavarde27546        9       10      7       5       10      5       4       9       5       6       8       5       4       9       4       8       
Vardas27547         Pavarde27547        8       10      10      10      9       9       2       3       1       8       5       7       7       7       4       3       
Vardas27548         Pavarde27548        5       8       3       1       5       2       4       5       1       1       3       7       9       6       10      4       
Vardas27549         Pavarde27549        8       2       3       1       7       6       4       6       10      9       8       10      7       2       9       6       
Vardas27550         Pavarde27550        10      2       4       10      6       2       8       1       5       9       1       6       1       8       5       8       
Vardas27551         Pavarde27551        3       2       4       7       2       5       7       7       1       4       9       1       1       9       9       10      
Vardas27552         Pavarde27552        4       7       10      10      7       1       4       3       6       2       9       5       8       5       5       3       
Vardas27553         Pavarde27553        5       3       8       6       9       8       5       6       7       8       9       6       6       8       3       6       
Vardas27554         Pavarde27554        1       5       2       4       5       9       5       3       6       5       9       10      5       7       6       3       
Vardas27555         Pavarde27555        7       1       5       9       8       10      7       3       4       6       5       1       8       1       4       9       
Vardas27556         Pavarde27556        7       10      5       8       10      1       8       5       7       2       6       10      4       5       7       7       
Vardas27557         Pavarde27557        10      6       8       3       8       7       1       10      4       2       2       3       4       9       7       5       
Vardas27558         Pavarde27558        1       5       6       7       3       9       5       9       5       1       8       10      8       8       4       4       
Vardas27559         Pavarde27559        2       7       3       1       9       5       2       9       1       3       10      9       8       1       3       3       
Vardas27560         Pavarde27560        7       6       8       8       6       7       9       1       10      6       9       4       4       9       6       2       
Vardas27561         Pavarde27561        10      2       5       7       5       10      1       4       1       5       2       10      1       5       7       6       
Vardas27562         Pavarde27562        9       9       8       3       3       6       10      9       3       2       8       9       10      8       5       1       
Vardas27563         Pavarde27563        2       10      8       10      2       7       5       7       9       2       10      7       7       1       4       10      
Vardas27564         Pavarde27564        5       3       3       9       8       4       9       7       9       6       4       8       8       5       7       4       
Vardas27565         Pavarde27565        4       5       1       6       6       3       5       6       3       1       1       6       1       7       9       1       
Vardas27566         Pavarde27566        3       8       3       7       9       10      6       3       6       4       3       5       7       6       7       4       
Vardas27567         Pavarde27567        4       5       9       5       1       8       2       8       1       10      7       9       9       10      8       4       
Vardas27568         Pavarde27568        5       10      3       1       4       6       2       9       9       6       3       5       8       9       6       4       
Vardas27569         Pavarde27569        10      9       1       9       1       6       9       10      6       7       7       1       10      3       10      6       
Vardas27570         Pavarde27570        7       2       4       2       5       10      8       10      2       6       1       7       7       9       4       10      
Vardas27571         Pavarde27571        2       1       6       9       5       7       4       1       10      6       4       3       4       9       2       2       
Vardas27572         Pavarde27572        7       9       5       7       1       1       9       3       9       1       3       7       1       10      7       6       
Vardas27573         Pavarde27573        1       2       6       3       3       4       6       1       8       6       7       8       2       1       1       4       
Vardas27574         Pavarde27574        8       3       6       2       6       3       4       7       10      1       8       6       4       10      8       4       
Vardas27575         Pavarde27575        7       2       4       9       3       10      4       4       5       6       5       4       8       7       8       8       
Vardas27576         Pavarde27576        6       6       3       9       6       4       2       6       1       2       7       2       8       9       1       9       
Vardas27577         Pavarde27577        8       3       8       4       9       4       3       9       7       2       4       9       6       1       4       8       
Vardas27578         Pavarde27578        8       8       2       1       5       7       5       4       4       3       5       8       1       4       3       9       
Vardas27579         Pavarde27579        6       8       4       7       7       1       10      3       5       6       3       7       2       1       6       2       
Vardas27580         Pavarde27580        5       5       7       5       1       1       6       2       4       3       7       7       7       7       9       8       
Vardas27581         Pavarde27581        4       9       9       10      5       2       10      1       7       4       6       10      4       5       10      10      
Vardas27582         Pavarde27582        6       3       5       10      6       3       9       1       9       2       2       5       8       4       2       1       
Vardas27583         Pavarde27583        7       10      4       2       5       10      6       3       8       5       1       10      2       10      5       8       
Vardas27584         Pavarde27584        2       4       8       1       8       8       4       3       8       10      1       1       8       6       9       2       
Vardas27585         Pavarde27585        8       3       4       8       8       8       4       3       6       10      7       2       6       9       3       6       
Vardas27586         Pavarde27586        1       2       9       8       4       5       10      7       8       2       1       7       7       4       9       4       
Vardas27587         Pavarde27587        6       3       10      4       7       1       3       7       3       9       3       3       9       3       3       10      
Vardas27588         Pavarde27588        6       1       9       3       2       1       8       10      5       4       2       6       2       6       3       8       
Vardas27589         Pavarde27589        7       1       2       6       8       7       5       3       1       2       5       10      5       2       3       5       
Vardas27590         Pavarde27590        2       3       1       3       1       3       5       8       9       2       7       9       1       6       7       10      
Vardas27591         Pavarde27591        6       3       4       1       6       8       3       3       10      9       9       9       8       10      3       4       
Vardas27592         Pavarde27592        1       3       10      7       8       4       10      4       4       10      7       5       8       1       6       1       
Vardas27593         Pavarde27593        1       5       2       2       1       5       5       1       8       9       2       3       8       8       7       8       
Vardas27594         Pavarde27594        2       8       9       3       1       6       9       9       2       5       9       6       5       7       8       10      
Vardas27595         Pavarde27595        6       8       3       8       1       10      9       5       1       8       6       6       1       5       2       9       
Vardas27596         Pavarde27596        7       10      3       10      2       3       5       9       8       10      4       10      6       10      5       2       
Vardas27597         Pavarde27597        7       10      7       6       6       1       9       3       6       2       8       9       9       10      2       9       
Vardas27598         Pavarde27598        6       5       2       1       9       3       7       3       6       7       1       4       5       8       10      3       
Vardas27599         Pavarde27599        2       5       10      10      10      5       10      10      1       4       4       7       2       1       1       7       
Vardas27600         Pavarde27600        1       8       7       6       2       5       4       1       6       8       5       9       2       8       10      3       
Vardas27601         Pavarde27601        5       10      8       8       10      10      8       9       8       8       4       6       6       10      3       8       
Vardas27602         Pavarde27602        1       7       8       8       10      10      1       2       4       5       2       2       8       5       3       5       
Vardas27603         Pavarde27603        8       9       4       9       6       2       5       9       1       5       9       3       4       5       9       9       
Vardas27604         Pavarde27604        8       6       6       3       3       6       1       9       6       9       9       9       1       1       7       6       
Vardas27605         Pavarde27605        4       10      2       2       9       2       2       2       4       8       8       2       4       8       2       6       
Vardas27606         Pavarde27606        1       3       9       10      6       5       3       2       10      6       7       1       2       10      9       3       
Vardas27607         Pavarde27607        3       10      5       5       10      3       3       2       9       10      3       10      1       1       7       3       
Vardas27608         Pavarde27608        10      1       1       6       1       1       6       6       2       6       1       9       7       4       1       6       
Vardas27609         Pavarde27609        10      2       7       3       3       9       7       4       8       3       4       8       8       4       9       8       
Vardas27610         Pavarde27610        8       3       10      9       1       10      1       8       6       4       6       1       3       10      4       9       
Vardas27611         Pavarde27611        2       9       3       7       8       6       9       1       7       1       8       2       5       6       4       4       
Vardas27612         Pavarde27612        9       1       3       4       6       5       8       2       2       1       7       1       5       7       9       10      
Vardas27613         Pavarde27613        5       5       8       9       1       4       7       2       8       10      3       5       4       2       8       4       
Vardas27614         Pavarde27614        1       9       2       2       1       9       8       2       5       5       1       6       1       3       3       7       
Vardas27615         Pavarde27615        9       8       9       6       2       1       9       3       2       3       8       10      2       2       8       3       
Vardas27616         Pavarde27616        9       7       1       1       2       4       2       2       9       8       3       7       2       2       5       4       
Vardas27617         Pavarde27617        5       6       5       7       8       8       6       2       3       3       4       9       10      10      2       2       
Vardas27618         Pavarde27618        10      10      4       9       6       2       3       8       1       7       2       2       8       10      4       6       
Vardas27619         Pavarde27619        4       9       1       2       4       6       4       3       5       7       8       3       10      7       1       5       
Vardas27620         Pavarde27620        10      4       10      4       3       6       8       10      2       4       10      10      5       10      7       10      
Vardas27621         Pavarde27621        10      6       4       6       2       3       6       4       6       7       7       2       9       9       2       2       
Vardas27622         Pavarde27622        6       7       2       5       4       8       6       2       9       5       8       4       6       10      8       5       
Vardas27623         Pavarde27623        10      3       2       6       3       1       3       7       2       2       7       3       9       6       2       7       
Vardas27624         Pavarde27624        4       9       7       6       1       2       2       8       1       8       3       1       7       4       10      9       
Vardas27625         Pavarde27625        8       4       4       10      9       3       6       6       5       6       5       7       10      3       10      8       
Vardas27626         Pavarde27626        10      2       8       5       6       1       8       6       8       4       2       5       8       9       2       3       
Vardas27627         Pavarde27627        4       5       8       2       8       7       8       7       5       7       3       10      6       2       1       6       
Vardas27628         Pavarde27628        8       1       9       9       7       3       5       7       7       4       8       10      7       1       9       1       
Vardas27629         Pavarde27629        8       7       4       9       2       7       2       2       7       8       6       9       5       1       8       4       
Vardas27630         Pavarde27630        6       1       8       9       10      5       8       6       1       4       2       10      6       9       2       2       
Vardas27631         Pavarde27631        2       1       1       8       1       4       3       2       3       7       4       3       1       1       7       6       
Vardas27632         Pavarde27632        8       9       2       3       2       1       2       10      2       8       9       1       6       7       4       3       
Vardas27633         Pavarde27633        8       9       6       10      4       10      6       4       1       2       2       6       3       10      1       4       
Vardas27634         Pavarde27634        10      9       5       5       4       7       7       3       5       6       7       1       1       5       10      8       
Vardas27635         Pavarde27635        2       9       3       9       1       6       7       5       5       1       9       4       1       9       1       6       
Vardas27636         Pavarde27636        10      9       10      8       8       2       9       6       4       3       7       5       8       10      5       2       
Vardas27637         Pavarde27637        7       3       2       1       3       10      9       7       9       9       4       7       6       8       6       9       
Vardas27638         Pavarde27638        1       2       2       5       7       2       8       5       7       9       10      8       5       2       2       5       
Vardas27639         Pavarde27639        7       4       2       8       9       10      5       2       1       5       4       3       3       9       1       7       
Vardas27640         Pavarde27640        7       10      2       1       5       2       8       7       6       10      3       5       9       4       3       4       
Vardas27641         Pavarde27641        3       4       7       8       9       3       6       1       3       9       3       10      4       1       1       4       
Vardas27642         Pavarde27642        5       7       3       3       8       10      6       3       8       7       3       8       2       2       9       8       
Vardas27643         Pavarde27643        4       3       6       1       3       9       3       9       7       7       10      4       7       10      7       1       
Vardas27644         Pavarde27644        10      10      3       5       6       10      6       5       7       5       5       1       4       8       1       9       
Vardas27645         Pavarde27645        8       6       2       1       9       8       7       1       4       1       5       3       10      1       5       3       
Vardas27646         Pavarde27646        6       7       3       1       7       1       5       2       4       8       8       1       1       9       6       10      
Vardas27647         Pavarde27647        1       5       10      10      7       9       7       9       6       6       4       1       1       2       10      6       
Vardas27648         Pavarde27648        9       8       1       8       1       9       10      10      8       2       1       5       6       7       7       2       
Vardas27649         Pavarde27649        6       3       1       4       8       10      2       7       4       3       8       6       1       1       10      7       
Vardas27650         Pavarde27650        4       8       4       5       5       10      6       6       1       6       3       8       7       8       5       9       
Vardas27651         Pavarde27651        2       3       8       6       7       3       7       1       7       4       4       10      3       3       9       7       
Vardas27652         Pavarde27652        2       8       8       7       5       4       8       7       7       2       6       10      1       7       3       2       
Vardas27653         Pavarde27653        7       10      4       7       8       7       2       5       5       7       8       3       3       2       8       2       
Vardas27654         Pavarde27654        3       6       10      8       4       8       7       9       10      10      7       5       1       9       3       8       
Vardas27655         Pavarde27655        4       8       7       10      6       6       6       7       6       4       6       10      2       8       4       2       
Vardas27656         Pavarde27656        6       2       5       6       5       1       6       5       8       10      1       9       3       5       2       1       
Vardas27657         Pavarde27657        1       9       6       7       3       5       2       5       1       4       9       4       10      6       5       10      
Vardas27658         Pavarde27658        1       6       7       5       10      1       1       4       8       3       7       4       5       4       9       1       
Vardas27659         Pavarde27659        4       1       2       7       5       2       5       1       5       1       3       2       7       4       3       1       
Vardas27660         Pavarde27660        8       7       6       3       5       8       5       6       9       10      2       10      7       7       3       3       
Vardas27661         Pavarde27661        7       6       8       10      2       3       4       3       10      3       7       8       1       10      7       6       
Vardas27662         Pavarde27662        1       5       7       4       6       10      2       7       3       3       5       5       9       9       1       2       
Vardas27663         Pavarde27663        6       4       3       10      10      3       5       4       1       3       7       4       3       1       9       10      
Vardas27664         Pavarde27664        6       10      8       4       5       8       2       10      3       6       5       7       6       9       6       9       
Vardas27665         Pavarde27665        9       5       4       5       4       4       5       9       4       3       5       3       9       3       2       1       
Vardas27666         Pavarde27666        7       5       2       5       7       9       10      9       3       7       6       4       7       2       7       6       
Vardas27667         Pavarde27667        8       10      2       2       6       9       8       7       7       4       2       10      2       9       6       3       
Vardas27668         Pavarde27668        7       10      6       5       8       7       3       2       7       9       3       3       6       8       3       2       
Vardas27669         Pavarde27669        2       10      2       1       5       10      5       6       8       1       3       3       10      7       9       9       
Vardas27670         Pavarde27670        8       4       9       9       8       10      7       9       7       8       9       3       2       3       3       10      
Vardas27671         Pavarde27671        5       7       9       6       10      1       4       4       9       7       4       7       10      1       3       8       
Vardas27672         Pavarde27672        7       3       8       10      5       2       6       1       7       4       9       9       1       9       7       4       
Vardas27673         Pavarde27673        10      5       3       10      3       5       4       6       10      2       5       3       2       6       10      4       
Vardas27674         Pavarde27674        3       7       10      1       9       10      9       4       9       2       6       3       5       1       4       7       
Vardas27675         Pavarde27675        4       1       3       8       4       6       6       3       7       2       9       9       8       2       9       8       
Vardas27676         Pavarde27676        4       7       8       10      6       10      2       9       8       5       9       5       6       1       7       7       
Vardas27677         Pavarde27677        3       5       10      4       5       6       1       6       5       1       6       6       9       2       7       1       
Vardas27678         Pavarde27678        2       9       9       3       8       8       2       5       4       9       1       8       8       7       3       1       
Vardas27679         Pavarde27679        9       3       5       5       6       4       8       1       10      4       7       5       10      6       1       1       
Vardas27680         Pavarde27680        7       4       5       5       3       3       5       7       2       6       9       3       3       7       1       2       
Vardas27681         Pavarde27681        10      2       3       10      2       2       3       4       2       4       3       2       7       10      7       1       
Vardas27682         Pavarde27682        7       6       9       1       5       10      9       1       3       1       2       1       4       5       10      6       
Vardas27683         Pavarde27683        10      4       4       7       8       4       7       9       9       6       7       6       9       1       6       4       
Vardas27684         Pavarde27684        3       7       4       8       8       9       6       9       9       10      10      8       3       8       5       1       
Vardas27685         Pavarde27685        10      3       1       4       6       7       2       6       5       4       10      8       2       7       7       6       
Vardas27686         Pavarde27686        5       2       7       4       9       6       8       9       8       7       8       10      3       7       4       8       
Vardas27687         Pavarde27687        10      2       10      6       9       7       8       3       10      5       5       2       8       10      5       9       
Vardas27688         Pavarde27688        8       7       1       9       2       2       2       1       4       8       9       9       3       5       8       10      
Vardas27689         Pavarde27689        2       9       6       4       9       9       4       1       2       5       1       4       1       4       1       2       
Vardas27690         Pavarde27690        6       4       3       3       9       5       3       1       5       10      2       5       9       2       6       2       
Vardas27691         Pavarde27691        6       5       3       9       10      1       9       1       8       10      2       3       1       10      7       7       
Vardas27692         Pavarde27692        8       8       2       8       6       1       7       2       2       8       10      10      3       8       3       7       
Vardas27693         Pavarde27693        2       8       2       8       8       7       2       6       9       5       9       4       6       5       10      2       
Vardas27694         Pavarde27694        10      7       4       4       3       4       1       3       3       8       2       6       4       8       8       1       
Vardas27695         Pavarde27695        4       10      6       9       3       6       6       6       3       8       5       2       2       3       2       7       
Vardas27696         Pavarde27696        7       5       4       8       3       9       5       7       6       10      5       9       3       2       6       6       
Vardas27697         Pavarde27697        10      10      2       2       2       6       1       10      7       5       1       1       7       8       6       1       
Vardas27698         Pavarde27698        1       5       8       7       9       10      5       8       1       8       9       1       8       2       2       3       
Vardas27699         Pavarde27699        10      10      3       4       3       2       7       5       3       4       10      7       1       7       8       2       
Vardas27700         Pavarde27700        3       6       2       10      5       3       1       10      6       9       1       3       2       5       3       7       
Vardas27701         Pavarde27701        6       3       7       6       5       2       2       9       7       2       7       2       7       4       5       9       
Vardas27702         Pavarde27702        3       6       7       1       8       2       1       8       5       5       4       10      5       7       7       9       
Vardas27703         Pavarde27703        9       7       1       4       7       8       7       10      3       8       7       1       7       5       8       3       
Vardas27704         Pavarde27704        10      9       6       7       10      7       10      3       2       8       3       9       1       9       1       5       
Vardas27705         Pavarde27705        7       6       9       5       5       5       4       5       9       10      4       2       5       7       7       10      
Vardas27706         Pavarde27706        10      3       9       4       1       1       6       10      3       3       7       2       6       9       1       5       
Vardas27707         Pavarde27707        2       3       2       8       9       3       3       9       6       8       3       1       7       4       8       1       
Vardas27708         Pavarde27708        3       6       6       5       1       1       3       8       4       3       1       3       8       5       3       1       
Vardas27709         Pavarde27709        2       10      4       9       3       10      8       8       8       8       4       1       3       6       10      9       
Vardas27710         Pavarde27710        9       4       10      5       10      2       5       9       6       10      2       7       3       8       2       3       
Vardas27711         Pavarde27711        7       9       5       9       3       7       2       7       4       9       9       10      10      6       1       4       
Vardas27712         Pavarde27712        2       7       5       2       10      4       1       3       5       2       5       3       5       6       1       7       
Vardas27713         Pavarde27713        9       6       1       3       6       4       7       3       3       2       3       9       9       7       4       1       
Vardas27714         Pavarde27714        2       2       2       3       2       3       10      5       6       10      1       4       1       3       2       5       
Vardas27715         Pavarde27715        8       8       3       5       5       9       10      9       3       7       1       9       4       1       4       7       
Vardas27716         Pavarde27716        9       8       5       2       10      8       5       6       2       4       4       2       7       2       4       3       
Vardas27717         Pavarde27717        9       6       3       4       8       3       7       5       8       4       10      10      8       10      4       4       
Vardas27718         Pavarde27718        8       4       10      6       9       5       1       4       9       4       7       9       6       1       1       7       
Vardas27719         Pavarde27719        6       10      1       5       2       9       3       9       8       3       7       7       7       10      9       9       
Vardas27720         Pavarde27720        7       8       5       2       8       4       8       2       1       2       9       5       9       6       2       6       
Vardas27721         Pavarde27721        7       6       4       2       1       7       5       2       3       5       8       5       7       1       8       5       
Vardas27722         Pavarde27722        6       3       8       10      5       4       8       9       7       5       9       8       6       2       7       9       
Vardas27723         Pavarde27723        10      7       4       1       7       7       10      3       2       2       3       7       8       10      4       8       
Vardas27724         Pavarde27724        9       5       6       9       10      3       2       5       5       6       8       8       5       6       1       3       
Vardas27725         Pavarde27725        5       1       6       3       10      1       7       1       10      4       4       1       10      8       4       6       
Vardas27726         Pavarde27726        8       8       10      2       6       8       2       6       10      7       1       5       10      6       3       4       
Vardas27727         Pavarde27727        4       10      7       1       4       3       5       8       1       4       2       7       5       5       10      10      
Vardas27728         Pavarde27728        7       9       1       7       4       5       3       5       10      2       9       7       9       8       6       10      
Vardas27729         Pavarde27729        9       3       2       4       4       1       5       1       10      2       10      8       5       9       7       3       
Vardas27730         Pavarde27730        2       10      7       1       2       6       4       7       4       9       4       2       1       10      7       6       
Vardas27731         Pavarde27731        6       4       6       6       4       1       7       9       7       1       9       9       7       2       4       1       
Vardas27732         Pavarde27732        3       3       1       7       5       8       2       9       6       3       3       5       8       8       2       7       
Vardas27733         Pavarde27733        1       9       1       3       1       6       10      8       8       4       8       10      5       3       6       7       
Vardas27734         Pavarde27734        7       10      8       3       1       9       4       8       2       6       1       7       10      2       2       9       
Vardas27735         Pavarde27735        1       5       4       7       6       9       9       8       7       6       5       2       8       1       10      8       
Vardas27736         Pavarde27736        8       10      5       9       10      9       2       2       2       2       1       9       3       2       7       7       
Vardas27737         Pavarde27737        4       10      2       6       7       1       5       2       3       7       8       8       9       2       7       3       
Vardas27738         Pavarde27738        6       8       1       10      4       9       1       1       7       4       2       9       1       5       2       2       
Vardas27739         Pavarde27739        4       10      8       2       8       10      1       3       2       1       4       8       5       4       4       6       
Vardas27740         Pavarde27740        7       4       10      3       5       2       5       8       7       5       9       5       2       10      3       2       
Vardas27741         Pavarde27741        3       4       10      5       1       6       6       7       7       4       9       1       9       1       1       1       
Vardas27742         Pavarde27742        7       2       5       9       7       10      5       2       9       9       1       8       4       4       5       4       
Vardas27743         Pavarde27743        3       7       10      3       4       8       9       9       8       9       8       8       9       2       9       10      
Vardas27744         Pavarde27744        2       6       10      5       8       5       3       9       6       2       7       3       7       3       3       5       
Vardas27745         Pavarde27745        2       1       6       2       10      5       5       8       10      9       4       5       6       3       8       7       
Vardas27746         Pavarde27746        10      7       1       1       2       7       10      4       6       7       8       5       3       8       5       3       
Vardas27747         Pavarde27747        4       10      10      7       10      8       7       8       7       1       2       1       9       2       1       6       
Vardas27748         Pavarde27748        4       1       3       1       2       2       3       8       5       10      8       4       5       9       6       5       
Vardas27749         Pavarde27749        2       7       3       9       4       7       9       4       9       1       1       7       10      8       2       4       
Vardas27750         Pavarde27750        3       10      10      8       6       1       4       1       5       5       6       5       9       10      4       4       
Vardas27751         Pavarde27751        4       10      9       7       1       2       4       1       8       10      6       9       6       6       3       10      
Vardas27752         Pavarde27752        5       1       4       5       7       7       4       2       6       8       9       3       8       6       2       8       
Vardas27753         Pavarde27753        10      7       1       9       5       7       9       9       10      8       4       9       1       10      6       9       
Vardas27754         Pavarde27754        1       3       1       8       8       6       5       6       4       6       6       2       3       5       6       9       
Vardas27755         Pavarde27755        5       8       3       9       2       8       9       1       2       9       7       10      9       4       2       9       
Vardas27756         Pavarde27756        9       8       10      8       7       10      10      5       1       4       8       9       3       9       5       2       
Vardas27757         Pavarde27757        8       4       9       4       8       3       1       8       10      2       10      5       2       9       1       8       
Vardas27758         Pavarde27758        7       6       7       4       8       5       7       4       4       10      2       2       9       2       6       4       
Vardas27759         Pavarde27759        8       6       8       9       10      10      3       2       4       9       6       9       2       7       9       7       
Vardas27760         Pavarde27760        7       4       7       10      10      2       3       10      9       10      5       1       1       5       4       4       
Vardas27761         Pavarde27761        8       4       3       7       4       1       10      10      5       2       4       7       4       2       10      9       
Vardas27762         Pavarde27762        8       10      8       7       4       10      9       9       8       2       5       7       8       9       2       5       
Vardas27763         Pavarde27763        6       6       10      1       7       10      6       8       5       5       5       3       6       2       5       3       
Vardas27764         Pavarde27764        4       8       1       2       10      3       10      7       1       1       1       10      2       2       10      3       
Vardas27765         Pavarde27765        6       8       9       9       7       1       6       1       1       7       2       9       5       10      5       5       
Vardas27766         Pavarde27766        8       4       1       1       3       7       9       7       10      7       6       4       10      10      5       4       
Vardas27767         Pavarde27767        7       9       9       9       9       4       2       8       6       5       10      4       10      1       9       9       
Vardas27768         Pavarde27768        9       5       9       8       9       6       8       6       7       6       3       7       4       1       3       1       
Vardas27769         Pavarde27769        5       3       6       4       7       7       7       1       8       9       7       3       7       5       6       9       
Vardas27770         Pavarde27770        1       8       8       2       10      7       4       7       10      9       5       2       3       8       3       9       
Vardas27771         Pavarde27771        5       10      5       9       3       9       2       5       6       5       2       2       2       4       8       3       
Vardas27772         Pavarde27772        7       3       7       4       6       10      3       2       8       3       5       4       7       4       7       10      
Vardas27773         Pavarde27773        8       3       3       4       9       7       6       4       8       5       9       4       1       10      7       3       
Vardas27774         Pavarde27774        4       4       6       1       7       5       4       8       5       8       8       3       3       6       2       9       
Vardas27775         Pavarde27775        7       4       1       6       1       5       8       5       1       4       6       6       6       4       4       3       
Vardas27776         Pavarde27776        7       3       2       7       4       5       5       4       4       4       9       3       3       5       9       5       
Vardas27777         Pavarde27777        9       8       4       1       8       7       8       3       3       5       2       10      8       8       3       3       
Vardas27778         Pavarde27778        9       3       3       5       7       4       9       2       6       8       3       6       6       8       4       6       
Vardas27779         Pavarde27779        2       8       3       6       4       8       1       10      3       8       4       10      7       6       7       1       
